Product Number,Name,Brand,Features,Description,Specifications,URL
4,Thermoduct geïsoleerd T-stuk diameter 250 mm - 250 mm (90 graden),Econox,"Ø 250 - 250 mm; Luchtdichtheidsklasse D, ATC 2; Thermisch en geluidreducerende oplossing; Kostenbesparend door korte installatietijd","Thermoduct geïsoleerd T-stuk 90 graden met een diameter van 250 mm en aftakking naar 250 mmDit geïsoleerde T-stuk van Thermoduct is voorzien van een galvanisch metalen buis met een buitenmantel van thermisch isolatiemateriaal met een 9 mm gesloten cellen structuur.Het Thermoduct geïsoleerde T-stuk is uitermate geschikt voor aan- en afvoer lucht aansluitingen van bijvoorbeeld WTW-units en luchtbehandelingsinstallaties. De Thermoduct geïsoleerde ventilatiebuis en hulpstukken zijn ontwikkeld en geproduceerd door Econox.Prefab oplossingThermoduct is dé prefab oplossing voor het aanleggen van geïsoleerde, geluidsarme en energiezuinige ventilatie. Het Thermoduct T-stuk is prefab geïsoleerd wat zorgt voor een gemakkelijkere installatie. Dit zorgt tevens voor een kortere installatietijd en is daardoor kostenbesparend.Vermindering van warmteverlies en geen condensvormingThermoduct is een luchtkanalensysteem met een hoogwaardige thermische isolerende mantel. De
mantel zorgt ervoor dat het warmteverlies vermindert wordt en door de dichte celstructuur van 9 mm kan de damp van het water niet overgedragen worden. Thermoduct regelt temperatuurverschillen tussen de binnen- en buitenlucht af, waardoor condensvorming bijna is uitgesloten.InstallatiegemakThermoduct staat voor luchtdichte montage. De Thermoduct producten zijn standaard voorzien van afdichtingsrubber en sluitbanden en hierdoor behalen de Thermoduct hulpstukken luchtdichtheidsklasse D of ATC 2. Dankzij de safe verbinding met rubberen afdichting en de handige dampdichte sluitbanden hoeft er niet afgeplakt te worden. Tevens is de binnenbuis galvanisch behandeld en daardoor eenvoudig te reinigen.GeluidsreductieDankzij de akoestische eigenschappen van de isolerende mantel, word geluid gereduceerd in de ventilatiebuizen, wat zorgt voor een geluidsarm ventilatiesysteem. Hierdoor is het dé oplossing voor installaties die aan de strenge geluidseisen van het Bouwbesluit 2012 (max. 30dB(A)) voldoen.",Merk: Econox | Categorie: Geïsoleerd T-stuk 90 graden | GTIN: 8719544000774 | Artikelnummer fabrikant: 10113003 | Artikelnummer: 10113003,https://www.econox.nl/nl_NL/p/thermoduct-geisoleerd-t-stuk-diameter-250-mm-250-mm-90-graden/4/
6,Thermoduct dakdoorvoer Ø200mm,Econox,,WTW HR dakdoorvoer Thermoduct geïsoleerd RAL7016 Ø200mmAluminium antraciet gemoffelde dakdoorvoer tbv aan en afvoer van lucht. Uitermate geschikt voor WTW installaties maar ook voor andere doeleinde toepasbaar.Leverbaar met bijbehorende loodslab onder graden van de dakhelling of plakplaat voor vlak dak (zie accessoires).Aanvullende eigenschappenWaardeAansluitdiameter200 mmType aansluitingSteekverbindingUitblaasopening313 cm²Verplaatsbare lucht bij 5m/s564 m³/hWeerstand10 PascalSoort isolatiemateriaalThermoduct (uitwendig geïsoleerd)Dikte isolatie9 mmLengte onderdaks575 mmFunctieToevoer en afvoerHet aanvragen van een offerte is mogelijk voor bestellingen van minimaal 3 producten en een orderwaarde van €1000 (ex. btw) of hoger. Dit kan via onzeofferte aanvragenpagina.,Merk: Econox | Categorie: Thermoduct geïsoleerde dakdoorvoer | GTIN: 8719544000262 | Artikelnummer fabrikant: 10100422 | Artikelnummer: 10100422,https://www.econox.nl/nl_NL/p/thermoduct-dakdoorvoer-o200mm/6/
7,Thermoduct 9mm beugel  160mm - PCTD160,Econox,Merk: Econox; Diameter 160 mm; Gegalvaniseerd staal; Voor Thermoduct ventilatiebuis,Beugel tbv Thermoduct buis Ø160mmDe montagebeugel is onderdeel van het thermoduct leidingssysteem. De beugel heeft een diameter van 160mm en is daarmee geschikt voor de montage van een thermoductbuis van 180mm. De beugel is voorzien van een draaieind ophanging met een M8 bevestigingspunt.,Merk: Econox | Categorie: Thermoduct beugel | GTIN: 8719544286000 | Artikelnummer fabrikant: PCTD160 | Artikelnummer: 10100601,https://www.econox.nl/nl_NL/p/thermoduct-9mm-beugel-160mm-pctd160/7/
8,Thermoduct 9mm beugel  180mm - PCTD180,Econox,Merk: Econox; Diameter 180 mm; Gegalvaniseerd staal; Voor Thermoduct ventilatiebuis,Beugel tbv Thermoduct buis Ø180mmDe montagebeugel is onderdeel van het thermoduct leidingssysteem. De beugel heeft een diameter van 200mm en is daarmee geschikt voor de montage van een thermoductbuis van 180mm. De beugel is voorzien van een draaieind ophanging met een M8 bevestigingspunt.,Merk: Econox | Categorie: Thermoduct beugel | GTIN: 8719544286017 | Artikelnummer fabrikant: PCTD180 | Artikelnummer: 10100602,https://www.econox.nl/nl_NL/p/thermoduct-9mm-beugel-180mm-pctd180/8/
9,Thermoduct 9mm beugel  200mm - PCTD200,Econox,Merk: Econox; Diameter 200 mm; Gegalvaniseerd staal; Voor Thermoduct ventilatiebuis,Beugel tbv Thermoduct buis Ø200mmDe montagebeugel is onderdeel van het thermoduct leidingssysteem. De beugel heeft een diameter van 220mm en is daarmee geschikt voor de montage van een thermoductbuis van 200mm. De beugel is voorzien van een draaieind ophanging met een M8 bevestigingspunt.,Merk: Econox | Categorie: Thermoduct beugel | GTIN: 8719544286024 | Artikelnummer fabrikant: PCTD200 | Artikelnummer: 10100603,https://www.econox.nl/nl_NL/p/thermoduct-9mm-beugel-200mm-pctd200/9/
10,Thermoduct 9mm beugel  125mm - PCTD125,Econox,Merk: Econox; Diameter 125 mm; Gegalvaniseerd staal; Voor Thermoduct ventilatiebuis,Beugel tbv Thermoduct buis Ø125mmDe montagebeugel is onderdeel van het thermoduct leidingssysteem. De beugel heeft een diameter van 145mm en is daarmee geschikt voor de montage van een thermoductbuis van 125mm. De beugel is voorzien van een draaieind ophanging met een M8 bevestigingspunt.,Merk: Econox | Categorie: Thermoduct beugel | GTIN: 8719544285997 | Artikelnummer fabrikant: PCTD125 | Artikelnummer: 10100604,https://www.econox.nl/nl_NL/p/thermoduct-9mm-beugel-125mm-pctd125/10/
11,Thermoduct 9mm beugel  315mm - PCTD315,Econox,Merk: Econox; Diameter 315 mm; Gegalvaniseerd staal; Voor Thermoduct ventilatiebuis,Beugel tbv Thermoduct buis Ø315mmDe montagebeugel is onderdeel van het thermoduct leidingssysteem. De beugel heeft een diameter van 335mm en is daarmee geschikt voor de montage van een thermoductbuis van 315mm. De beugel is voorzien van een draaieind ophanging met een M8 bevestigingspunt.,Merk: Econox | Categorie: Thermoduct beugel | GTIN: 8719544286048 | Artikelnummer fabrikant: PCTD315 | Artikelnummer: 10100606,https://www.econox.nl/nl_NL/p/thermoduct-9mm-beugel-315mm-pctd315/11/
12,Thermoduct 9mm beugel  250mm - PCTD250,Econox,Merk: Econox; Diameter 250 mm; Gegalvaniseerd staal; Voor Thermoduct ventilatiebuis,Beugel tbv Thermoduct buis Ø250mmDe montagebeugel is onderdeel van het thermoduct leidingssysteem. De beugel heeft een diameter van 270mm en is daarmee geschikt voor de montage van een thermoductbuis van 250mm. De beugel is voorzien van een draaieind ophanging met een M8 bevestigingspunt.,Merk: Econox | Categorie: Thermoduct beugel | GTIN: 8719544286031 | Artikelnummer fabrikant: PCTD250 | Artikelnummer: 10100605,https://www.econox.nl/nl_NL/p/thermoduct-9mm-beugel-250mm-pctd250/12/
13,Thermoduct 9mm beugel  400mm - PCTD400,Econox,Merk: Econox; Diameter 400 mm; Gegalvaniseerd staal; Voor Thermoduct ventilatiebuis,Beugel tbv Thermoduct buis Ø400mmDe montagebeugel is onderdeel van het thermoduct leidingssysteem. De beugel heeft een diameter van 420mm en is daarmee geschikt voor de montage van een thermoductbuis van 400mm. De beugel is voorzien van een draaieind ophanging met een M8 bevestigingspunt.,Merk: Econox | Categorie: Thermoduct beugel | GTIN: 8719544286062 | Artikelnummer fabrikant: PCTD400 | Artikelnummer: 10100608,https://www.econox.nl/nl_NL/p/thermoduct-9mm-beugel-400mm-pctd400/13/
14,Thermoduct 9mm beugel  355mm - PCTD355,Econox,Merk: Econox; Diameter 355 mm; Gegalvaniseerd staal; Voor Thermoduct ventilatiebuis,Beugel tbv Thermoduct buis Ø355mmDe montagebeugel is onderdeel van het thermoduct leidingssysteem. De beugel heeft een diameter van 375mm en is daarmee geschikt voor de montage van een thermoductbuis van 355mm. De beugel is voorzien van een draaieind ophanging met een M8 bevestigingspunt.,Merk: Econox | Categorie: Thermoduct beugel | GTIN: 8719544286055 | Artikelnummer fabrikant: PCTD355 | Artikelnummer: 10100607,https://www.econox.nl/nl_NL/p/thermoduct-9mm-beugel-355mm-pctd355/14/
